31 messages loaded from file messagesTCH.txt
5 messages loaded from file messagesSTD.txt
0 Asserts Loaded
[0] STARTING simulation
[0] User program list:
        [1] Program [programWhichDoesNotExist] with arrival time [0]
        [2] Program [programWithoutSizeAndPrio] with arrival time [0]
        [3] Program [programTooBig] with arrival time [0]
        [4] Program [programWithTooManyInstructions] with arrival time [0]
        [5] Program [programWithSubroutine] with arrival time [0]
	[0] Process [0] created from program [SystemIdleProcess]
ERROR: Program [programWhichDoesNotExist] is not valid [--- it does not exist ---]
ERROR: Program [programWithoutSizeAndPrio] is not valid [--- invalid priority or size ---]
ERROR: Program [programTooBig] is too big
ERROR: Program [programWithTooManyInstructions] is too big
	[0] Process [1] created from program [programWithSubroutine]
[1] {0D 000 000} IRET 0 0 (PID: 1, PC: 0, Accumulator: 0, PSW: 0002 [--------------Z-])
[55] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[56] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[57] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[58] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[59] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[60] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[61] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[62] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[63] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[64] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[65] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[66] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[67] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[68] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[69] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[70] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[71] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[72] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[73] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[74] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[75] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[76] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[77] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[78] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[79] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[80] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[81] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[82] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[83] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[84] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[85] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[86] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[87] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[88] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[89] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[90] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[91] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[92] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[93] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[94] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[95] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[96] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[97] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[98] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[99] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[100] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[101] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[102] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[103] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[104] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[105] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[106] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[107] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[108] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[109] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[110] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[111] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[112] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[113] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[114] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[115] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[116] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[117] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[118] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[119] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[120] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[121] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[122] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[123] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[124] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[125] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[126] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[127] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[128] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[129] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[130] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[131] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[132] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[133] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[134] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[135] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[136] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[137] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[138] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[139] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[140] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[141] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[142] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[143] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[144] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[145] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[146] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[147] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[148] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[149] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[150] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[151] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[152] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[153] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[154] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[155] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[156] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[157] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[158] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[159] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[160] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[161] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[162] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[163] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[164] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[165] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[166] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[167] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[168] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[169] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[170] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[171] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[172] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[173] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[174] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[175] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[176] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[177] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[178] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[179] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[180] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[181] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[182] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[183] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[184] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
